,0,1,2,3,4
46,0.0,0.5388238,0.5085555,0.5136493,0.70232666
47,0.0,0.5516153,0.5248216,0.5449605,0.34633863
48,0.0,0.41839817,0.49347216,0.5603822,0.1262494
49,0.0,0.5100968,0.5715296,0.50956565,0.34576797
50,0.01010101,0.4395201,0.624376,0.52577585,0.019095128
51,0.01010101,0.5455185,0.5964441,0.4778158,0.09319075
52,0.01010101,0.5027155,0.4552665,0.5151366,0.63921446
53,0.01010101,0.460629,0.5264602,0.52193385,0.57911026
54,0.01010101,0.50282806,0.40864292,0.47991064,0.17350654
55,0.01010101,0.4887188,0.47864366,0.49551314,0.88630134
56,0.01010101,0.48670992,0.49631768,0.51454973,0.9227693
57,0.01010101,0.49052453,0.55293053,0.50794756,0.55381864
58,0.01010101,0.5007476,0.4138303,0.563241,0.101770036
59,0.01010101,0.5659181,0.48214084,0.45214206,0.24885014
60,0.01010101,0.49934027,0.49071142,0.55807275,0.50065863
61,0.01010101,0.5749264,0.32007688,0.5288265,0.00042498714
62,0.01010101,0.46762705,0.5506894,0.52033055,0.44657367
63,0.01010101,0.6081529,0.5648069,0.4612966,0.030838622
64,0.01010101,0.5157425,0.53381026,0.44730178,0.434477
65,0.01010101,0.45450896,0.481683,0.52268445,0.55771554
66,0.01010101,0.5086162,0.46707606,0.5470951,0.5090365
67,0.01010101,0.50749356,0.40751523,0.47635707,0.15981881
68,0.01010101,0.5520089,0.54838294,0.47936046,0.3347519
69,0.01010101,0.48154393,0.51771456,0.46092236,0.64642453
70,0.01010101,0.56208515,0.5214405,0.4929264,0.41775498
71,0.01010101,0.44407856,0.4799773,0.47251058,0.42453673
72,0.01010101,0.4607411,0.48221663,0.52620447,0.60119444
73,0.01010101,0.53946257,0.5225322,0.50147974,0.66137344
74,0.01010101,0.49249336,0.42939612,0.4927217,0.36101115
75,0.01010101,0.4534296,0.46162534,0.45602548,0.3279038
76,0.01010101,0.5291885,0.46054518,0.48516256,0.59110564
77,0.01010101,0.4724755,0.38896286,0.46140537,0.05418895
78,0.01010101,0.47878632,0.47013706,0.5394918,0.55973977
79,0.01010101,0.49308607,0.5277715,0.45858333,0.6023723
80,0.01010101,0.5869117,0.59818274,0.5259185,0.02807005
81,0.01010101,0.5089518,0.5624377,0.4753803,0.39973804
82,0.01010101,0.43623006,0.5786129,0.48453024,0.12280185
83,0.01010101,0.5475279,0.39953572,0.52069384,0.077611335
84,0.01010101,0.50707805,0.4753326,0.46526787,0.6886788
85,0.01010101,0.46851864,0.5153717,0.47087196,0.66023356
86,0.01010101,0.48218673,0.5135067,0.47163457,0.7703825
87,0.01010101,0.5550024,0.5999557,0.5854795,0.017169366
88,0.01010101,0.47564563,0.4962955,0.6044007,0.100131266
89,0.01010101,0.53609127,0.4882766,0.57995564,0.20875691
90,0.01010101,0.4515573,0.43879065,0.591969,0.05445854
91,0.01010101,0.52303296,0.5030284,0.5375512,0.67708635
92,0.01010101,0.48630297,0.49091145,0.5378568,0.7112935
93,0.01010101,0.4545749,0.5239757,0.47516116,0.52149904
94,0.01010101,0.56562626,0.5009879,0.42371136,0.13192149
95,0.01010101,0.50742346,0.59678674,0.537002,0.11551141
96,0.01010101,0.5388238,0.5085555,0.5136493,0.70232666
97,0.01010101,0.5516153,0.5248216,0.5449605,0.34633863
98,0.01010101,0.41839817,0.49347216,0.5603822,0.1262494
99,0.01010101,0.5100968,0.5715296,0.50956565,0.34576797
100,0.02020202,0.4395201,0.624376,0.52577585,0.019095128
101,0.02020202,0.5455185,0.5964441,0.4778158,0.09319075
102,0.02020202,0.5027155,0.4552665,0.5151366,0.63921446
103,0.02020202,0.460629,0.5264602,0.52193385,0.57911026
